estacion,fecha,cantidad_pasos
alberdi,6/16/2017,10835
alberdi,6/17/2017,8086
alberdi,6/18/2017,6879
alberdi,6/19/2017,10158
alberdi,6/20/2017,5664
alberdi,6/21/2017,10157
alberdi,6/22/2017,9923
alberdi,6/23/2017,10855
alberdi,6/24/2017,8964
alberdi,6/25/2017,6246
alberdi,6/26/2017,9784
alberdi,6/27/2017,10531
alberdi,6/28/2017,9759
alberdi,6/29/2017,10098
alberdi,6/30/2017,10717
alberdi,7/1/2017,9261
alberdi,7/2/2017,6700
alberdi,7/3/2017,9546
alberdi,7/4/2017,10663
alberdi,7/5/2017,10122
alberdi,7/6/2017,9998
alberdi,7/7/2017,9692
alberdi,7/8/2017,9416
alberdi,7/9/2017,6089
alberdi,7/10/2017,9416
alberdi,7/11/2017,10479
alberdi,7/12/2017,9953
alberdi,7/13/2017,9233
alberdi,7/14/2017,9880
alberdi,7/15/2017,8700
alberdi,7/16/2017,6385
alberdi,7/17/2017,9524
alberdi,7/18/2017,10282
alberdi,7/19/2017,9743
alberdi,7/20/2017,10485
alberdi,7/21/2017,10667
alberdi,7/22/2017,9439
alberdi,7/23/2017,6767
alberdi,7/24/2017,9696
alberdi,7/25/2017,10251
alberdi,7/26/2017,10207
alberdi,7/27/2017,10582
alberdi,7/28/2017,10898
alberdi,7/29/2017,9641
alberdi,7/30/2017,6058
alberdi,7/31/2017,9589
alberdi,8/1/2017,9199
alberdi,8/2/2017,10642
alberdi,8/3/2017,9041
alberdi,8/4/2017,10376
alberdi,8/5/2017,10361
alberdi,8/6/2017,7206
alberdi,8/7/2017,10111
alberdi,8/8/2017,9919
alberdi,8/9/2017,10937
alberdi,8/10/2017,10494
alberdi,8/11/2017,10128
alberdi,8/12/2017,8882
alberdi,8/13/2017,7284
alberdi,8/14/2017,9324
alberdi,8/15/2017,8762
alberdi,8/16/2017,10125
alberdi,8/17/2017,9617
alberdi,8/18/2017,11233
alberdi,8/19/2017,9385
alberdi,8/20/2017,7345
alberdi,8/21/2017,6863
alberdi,8/22/2017,10062
alberdi,8/23/2017,9960
alberdi,8/24/2017,10285
alberdi,8/25/2017,9760
alberdi,8/26/2017,9249
alberdi,8/27/2017,6396
alberdi,8/28/2017,9804
alberdi,8/29/2017,9670
alberdi,8/30/2017,10736
alberdi,8/31/2017,9194
alberdi,9/1/2017,11363
alberdi,9/2/2017,9407
alberdi,9/3/2017,6256
alberdi,9/4/2017,9973
alberdi,9/5/2017,10025
alberdi,9/6/2017,10650
alberdi,9/7/2017,10445
alberdi,9/8/2017,11216
alberdi,9/9/2017,8999
alberdi,9/10/2017,5593
alberdi,9/11/2017,10125
alberdi,9/12/2017,10099
alberdi,9/13/2017,10300
alberdi,9/14/2017,10781
alberdi,9/15/2017,11105
alberdi,9/16/2017,9789
alberdi,9/17/2017,7376
alberdi,9/18/2017,10612
alberdi,9/19/2017,11008
alberdi,9/20/2017,10881
alberdi,9/21/2017,9823
alberdi,9/22/2017,11135
alberdi,9/23/2017,9087
alberdi,9/24/2017,7043
alberdi,9/25/2017,10193
alberdi,9/26/2017,9681
alberdi,9/27/2017,10899
alberdi,9/28/2017,10956
alberdi,9/29/2017,10606
alberdi,9/30/2017,9662
alberdi,10/1/2017,6764
alberdi,10/2/2017,10425
alberdi,10/3/2017,10384
alberdi,10/4/2017,11069
alberdi,10/5/2017,10410
alberdi,10/6/2017,11265
alberdi,10/7/2017,10087
alberdi,10/8/2017,7153
alberdi,10/9/2017,10296
alberdi,10/10/2017,9283
alberdi,10/11/2017,11426
alberdi,10/12/2017,10793
alberdi,10/13/2017,11527
alberdi,10/14/2017,9550
alberdi,10/15/2017,7456
alberdi,10/16/2017,6839
alberdi,10/17/2017,10828
alberdi,10/18/2017,10545
alberdi,10/19/2017,11068
alberdi,10/20/2017,10744
alberdi,10/21/2017,9097
alberdi,10/22/2017,7238
alberdi,10/23/2017,9947
alberdi,10/24/2017,10324
alberdi,10/25/2017,10791
alberdi,10/26/2017,11014
alberdi,10/27/2017,10963
alberdi,10/28/2017,9348
alberdi,10/29/2017,7103
alberdi,10/30/2017,10266
alberdi,10/31/2017,10916
alberdi,11/1/2017,11016
alberdi,11/2/2017,10949
alberdi,11/3/2017,11306
alberdi,11/4/2017,10354
alberdi,11/5/2017,7482
alberdi,11/6/2017,10663
alberdi,11/7/2017,10533
alberdi,11/8/2017,11189
alberdi,11/9/2017,11457
alberdi,11/10/2017,10998
alberdi,11/11/2017,9768
alberdi,11/12/2017,7458
alberdi,11/13/2017,10450
alberdi,11/14/2017,10397
alberdi,11/15/2017,11353
alberdi,11/16/2017,11402
alberdi,11/17/2017,11003
alberdi,11/18/2017,9265
alberdi,11/19/2017,7098
alberdi,11/20/2017,6834
alberdi,11/21/2017,10993
alberdi,11/22/2017,10912
alberdi,11/23/2017,11219
alberdi,11/24/2017,9663
